event_id,member,stations,energy_EeV,theta_deg,baseline_rmse_ns,h_rmse_ns,h_ratio,best_spacing,best_ratio
183260084500,data/PAO181122.json,13,91.8,39.2,204.4499112421293,327.5700988584772,1.602202206243744,1.0,1.0002302405852272
80102573300,data/PAO080110.json,42,87.3,77.1,64.13712721754231,71.05668549732401,1.1078869381896654,0.74,0.9267398860079653
201631852200,data/PAO200611.json,12,155.2,18.9,102.38152122217686,295.7471753951016,2.8886772912203984,1.88,0.753308856495841
200663964800,data/PAO200306.json,18,109.7,41.4,274.2797623979308,355.51432523625766,1.2961741038716157,0.4,0.8805418190925594
200731925300,data/PAO200313.json,38,104.1,65.1,137.30542705687807,146.727260042497,1.0686195235510683,0.78,0.8626593070718743
173614955400,data/PAO171228.json,19,131.6,41.7,179.92363760800035,167.8485860259737,0.9328879087675264,1.24,0.6843984102570355
202975448900,data/PAO201024.json,30,90.1,62.9,136.51423458679088,151.02208992108024,1.1062735719700043,0.44,0.9449917637085286
150860522300,data/PAO150327.json,14,106.2,28.2,310.25764722985514,337.30917203534284,1.0871905174522467,0.66,1.0668059799261809
193141220900,data/PAO191110.json,34,165.5,58.6,70.79700808242079,76.27681374980556,1.077401656027685,1.58,0.9641510314824221
153034602000,data/PAO151031.json,23,81.0,51.8,158.3204776160546,195.2317009403685,1.2331424455011302,0.9,0.8722012599758309
162975276100,data/PAO161024.json,20,110.6,49.5,246.34431185365716,288.94255007362955,1.1729215418023462,0.9400000000000001,0.942310677282671
81846293700,data/PAO080703b.json,20,45.5,49.6,99.29296960870886,131.66853906778545,1.3260610452750219,0.52,0.8299177373324231
160783272600,data/PAO160318.json,14,96.1,16.9,278.0633449208821,501.85313505978723,1.8048158602227145,1.06,1.0899402774404539
181734718600,data/PAO180623.json,26,90.7,49.9,232.62213253589266,228.72725158595546,0.9832566191897659,1.3599999999999999,0.9698293254886869
181518165600,data/PAO180601.json,19,83.0,47.1,388.12907555946816,529.4188501238735,1.364027802763149,1.1600000000000001,1.005247143829024
102775011900,data/PAO101005.json,14,78.5,31.0,296.55987243676003,370.59289984947696,1.2496393959317746,0.54,0.9213455392535069
131342460100,data/PAO130514.json,17,87.7,45.1,122.95473279630592,130.61855272683576,1.0623304183274196,1.02,0.8936269635993376
153346831100,data/PAO151201.json,21,105.1,47.7,129.62156586486304,141.95280700148734,1.095132635178009,0.44,0.7138575407116782
193367597500,data/PAO191203.json,15,81.4,41.4,128.35083210180107,176.04603156211644,1.3716002356921695,2.02,0.7898188922107723
142937927500,data/PAO141021.json,13,155.1,6.8,191.5164540165923,265.34209169831433,1.3854793472488065,1.4,0.9560716716081356
143593462700,data/PAO141225.json,19,106.8,45.1,238.6105581085652,315.9000091109705,1.3239146315027663,0.9600000000000001,0.6037582388625637
151778072100,data/PAO150627.json,12,80.3,19.5,90.1809651739601,127.73825085133669,1.4164657763966948,1.0,0.32966665986645166
151433402300,data/PAO150523.json,19,107.1,39.2,257.80657452305144,313.371048810122,1.2155277629744943,1.2000000000000002,1.0105976576323445
101212507200,data/PAO100501.json,19,90.2,43.5,233.36224169301087,266.11667183732385,1.1403587397287758,0.42000000000000004,0.9136929271915881
152364323000,data/PAO150825.json,16,124.9,20.1,335.1456158588767,531.5077378222701,1.5859009119369705,2.06,0.8276659316427403
171481171400,data/PAO170528.json,14,95.4,28.3,238.14546381490976,163.90459743103074,0.6882541233639448,1.3599999999999999,0.5415921745173508
70137858700,data/PAO070114.json,16,164.7,14.2,292.0447846420648,383.961029204205,1.3147333881507053,0.78,0.8829743939518346
102266222400,data/PAO100815.json,22,82.2,53.8,183.61578847594856,237.32256308584763,1.2924954060632645,0.88,0.9929283290279802
81847956000,data/PAO080703a.json,24,56.9,53.8,142.67662410482814,163.14344776022463,1.1434490322700586,0.56,0.8579663434095676
111466613100,data/PAO110527.json,16,54.7,42.6,363.2468210118614,444.2164863447138,1.2229053653031376,0.64,0.516938270262438
71937334700,data/PAO070713.json,13,92.3,17.5,163.1102143522211,474.79342602334225,2.910874882415829,0.8600000000000001,0.8999740638626519
181651219900,data/PAO180614.json,21,82.4,50.0,252.59264638161878,317.37607284498466,1.2564739211191867,0.56,0.9627747300170376
51861479500,data/PAO050705.json,20,127.0,57.3,58.981750253819015,77.06793768107728,1.3066403989272461,1.7600000000000002,0.8702946910114127
91637640500,data/PAO090613.json,13,85.9,41.2,272.2411023602515,420.1030385924495,1.543128627346414,1.88,0.6135759857418773
