id,x,y,z,t,dt,signalStartBin,signalStopBin,signal,curveResidual,dcurveResidual,risetime,spDistance,sat,waveform_peak_bin,waveform_centroid_bin,waveform_q10_bin,waveform_q50_bin,waveform_q90_bin,waveform_width_ns,xp_m,yp_m,radius_m,q,q_mod_h,t_centered_ns,pred_plane_ns,resid_plane_ns,pred_hyperbolic_ns,resid_hyperbolic_ns,pred_hyperbolic+h_ns,resid_hyperbolic+h_ns,pred_hyperbolic+free-spacing_ns,resid_hyperbolic+free-spacing_ns
617,-31881.6,7020.2,56.3,572679802,,240,690,9.3,,,,2370.2,0,244,245.9193548387096,242,245,248,150.0,-456.7435544995669,2330.320241353632,2370.2,0.6206095121669954,0.6206095121669954,-33817.0,-33828.128376767556,11.128376767555892,-33825.71116395585,8.71116395584977,-33834.366389451934,17.366389451934083,-33814.609800125465,-2.3901998745350284
175,-14592.3,-4772.5,2.1,572747979,,242,692,9.0,,,,2823.0,0,243,245.49393203883494,242,244,248,150.0,-2097.7093120496133,-1883.1739389022046,2823.0,-2.40018460419741,0.23753352672749362,34360.0,34275.38673064746,84.61326935254328,34372.83688152119,-12.836881521187024,34386.75812921021,-26.758129210211337,34371.702296172465,-11.70229617246514
637,-28888.6,4408.1,48.7,572692452,,241,691,7.9,,,,1970.9,0,242,245.64644970414201,242,244,250,200.0,-1235.9906298890705,1541.1723213445728,1970.9,1.3110892871920152,1.3110892871920152,-21167.0,-21075.8000438704,-91.19995612959974,-21157.485661355473,-9.514338644527015,-21158.276380076946,-8.723619923053775,-21143.252337327664,-23.747662672336446
1315,-21334.1,-819.7,18.9,572722382,,241,691,7.8,,,,2041.5,0,242,262.50606394707825,242,244,339,2425.0,-2018.1050784284866,-301.5354743980275,2041.5,-2.0979475071208067,0.5397706238040971,8763.0,8739.119077354084,23.880922645916144,8739.393261596311,23.606738403688723,8728.581905045954,34.418094954045955,8717.136889535785,45.863110464215424
616,-30373.3,9619.5,60.6,572680032,,241,691,7.4,,,,3450.2,0,242,246.5056689342404,242,245,249,175.0,2548.42501386015,2322.6211377047152,3450.2,-0.8123305218244581,0.5065285436379938,-33587.0,-33756.94904648517,169.94904648516967,-33585.20628934372,-1.793710656282201,-33595.7477731101,8.747773110102571,-33579.33238678478,-7.667613215220626
1349,-20649.2,-2118.5,14.4,572726535,,236,686,7.2,,,,2860.0,0,242,243.38449367088603,237,242,246,225.0,-2804.7813833562786,-550.665254659985,2860.0,-2.769550829331307,1.1870263670560488,12916.0,12759.96542127673,156.0345787232709,12902.338704037707,13.66129596229257,12902.380540396758,13.619459603241921,12889.379304557106,26.62069544289443
619,-31129.4,8312.3,53.0,572679820,,240,690,6.7,,,,2551.5,0,243,245.06999999999994,242,244,248,150.0,1038.3200012833504,2331.384252728363,2551.5,0.07748429362212661,0.07748429362212661,-33799.0,-33838.24348920745,39.24348920745251,-33765.949977064614,-33.05002293538564,-33761.24198645907,-37.758013540929824,-33789.07649504301,-9.923504956990655
1306,-16901.2,-3414.4,9.2,572739193,,240,690,6.6,,,,2467.7,0,241,244.45327102803736,241,243,249,200.0,-2066.660228445795,-1342.3763162849943,2467.7,-2.219652980463672,0.4180651504612318,25574.0,25534.327260676404,39.67273932359603,25570.65850224299,3.3414977570100746,25570.506812915733,3.4931870842665376,25576.035798938075,-2.035798938075459
618,-32624.9,8319.4,50.4,572675629,,241,691,6.6,,,,2614.6,0,246,247.8432,242,246,252,250.0,301.25657728556143,2600.0342433175683,2614.6,0.22002165694836673,0.22002165694836673,-37990.0,-38168.016644150084,178.01664415008418,-38013.10383920562,23.103839205621625,-38001.180003798814,11.180003798814141,-38008.513922894505,18.513922894504503
1323,-19243.2,-2062.7,13.0,572730295,,240,690,6.4,,,,2207.6,0,243,244.37383177570098,241,244,248,175.0,-2057.614681853549,-793.1251106849305,2207.6,-2.1207023374157825,0.5170157935091213,16676.0,16681.169368580344,-5.169368580343871,16703.258033023634,-27.258033023634198,16696.304001866345,-20.30400186634506,16688.86453751867,-12.864537518671568
488,-13142.9,-2136.7,8.2,572747709,,239,689,6.0,,,,2085.5,0,242,244.7033195020747,241,243,246,125.0,909.8609290535474,-1878.473461101838,2085.5,-0.9495292484573111,0.3693298170051408,34090.0,34155.804395438274,-65.80439543827379,34099.85347619329,-9.85347619328968,34101.009647763174,-11.009647763174144,34092.66988602196,-2.6698860219621565
591,-28123.4,8310.5,59.2,572688389,,241,691,5.9,,,,3102.8,0,242,245.78640776699032,241,244,250,225.0,2530.6617503161187,1791.703787264051,3102.8,-0.670093883819499,0.6487651816429529,-25230.0,-25194.936913698755,-35.063086301244766,-25141.902233900822,-88.09776609917753,-25149.20641739154,-80.79358260846129,-25154.170319619836,-75.82968038016406
614,-33378.3,9628.2,63.6,572671402,,236,686,5.6,,,,3044.3,0,241,240.73199999999997,237,241,245,200.0,1062.5678204166543,2853.8198101522803,3044.3,-0.2496543751736885,1.0692046902887635,-42217.0,-42301.04485854056,84.04485854056111,-42191.83909180045,-25.16090819954843,-42183.43747157715,-33.562528422851756,-42204.374828430235,-12.62517156976537
1280,-18395.6,-3389.5,7.7,572734902,,224,674,5.4,,,,2990.1,0,230,230.33050847457628,225,230,235,250.0,-2787.730756016487,-1073.18927990389,2990.1,-2.7514672335513195,1.2051099628360362,21283.0,21216.247263818423,66.75273618157735,21387.454318969543,-104.45431896954324,21394.253576704814,-111.2535767048139,21385.225047948737,-102.22504794873748
588,-23636.0,5695.7,42.7,572705383,,241,691,5.3,,,,2602.2,0,242,244.64870689655172,241,243,247,150.0,2491.7495955620984,745.8052202433508,2602.2,-0.511519985300668,0.8073390801617839,-8236.0,-8270.619474485868,34.61947448586761,-8280.279205577432,44.27920557743164,-8280.856016330026,44.85601633002625,-8269.430878638514,33.430878638513605
568,-16137.6,472.4,15.2,572734991,,241,691,5.2,,,,2004.9,0,242,245.43478260869566,242,244,252,250.0,1685.6598523491969,-1088.7414354626808,2004.9,-0.5198622154832706,0.7989968499791813,21372.0,21404.614660696298,-32.614660696297506,21366.92932191496,5.070678085041436,21366.256309448232,5.743690551767941,21381.194477910267,-9.194477910266869
109,-10214.8,-4676.0,0.3,572760229,,240,690,5.2,,,,2652.8,0,242,243.48915187376727,241,243,247,150.0,161.53356859861287,-2648.412310062174,2652.8,-1.697903652389152,0.9398144785357518,46610.0,46597.31124338156,12.688756618437765,46592.519132775466,17.48086722453445,46601.203184215796,8.796815784204227,46589.27198739051,20.728012609491998
633,-31873.9,9620.9,57.8,572675736,,240,690,4.8,,,,3158.7,0,246,251.32101616628174,241,245,250,225.0,1803.8807595769158,2591.7926337647596,3158.7,-0.4864909299730996,0.8323681354893523,-37883.0,-38071.947739135336,188.94773913533572,-37902.24930329466,19.249303294658603,-37896.874021491305,13.87402149130503,-37895.38938242839,12.389382428387762
624,-30366.6,4405.5,57.7,572688387,,230,680,4.6,,,,2661.3,0,242,241.49268292682922,232,242,246,350.0,-1972.7743344665569,1794.376191199102,2661.3,0.7867928314020087,0.7867928314020087,-25232.0,-25173.528406499503,-58.471593500496965,-25246.291533654832,14.291533654832165,-25237.49823567606,5.4982356760592666,-25262.34314750577,30.343147505769593
785,-19858.0,4451.6,27.0,572718244,,241,691,4.0,,,,3289.8,0,242,243.76453488372098,241,243,246,125.0,3289.7302197879194,-35.68697884568768,3289.8,-1.190817831343919,0.12804123411853285,4625.0,4355.486523945155,269.51347605484534,4551.351804273328,73.64819572667238,4546.018701296323,78.98129870367666,4565.095618611494,59.90438138850641
176,-13966.6,-6027.7,0.1,572751950,,240,690,3.8,,,,3577.4,0,242,243.17125382262995,241,243,246,125.0,-2875.9719017033503,-2119.8145410926923,3577.4,-2.953707752748173,1.0028694436391825,38331.0,38090.973132786814,240.02686721318605,38317.42655964054,13.573440359461529,38330.32450871519,0.6754912848118693,38323.81112170854,7.188878291461151
548,-8638.4,-2127.7,1.0,572760841,,241,691,3.7,,,,4128.7,0,243,244.45454545454547,242,243,247,125.0,3156.2900255824916,-2669.8552398517045,4128.7,-2.1028905435449867,0.5348275873799171,47222.0,46847.996549306925,374.00345069307514,47204.103872152664,17.896127847336174,47177.90094200722,44.099057992782036,47176.624906279525,45.37509372047498
536,-13888.0,-836.2,10.1,572743512,,239,689,3.4,,,,2319.9,0,240,241.88666666666668,240,241,245,125.0,1668.0946027982063,-1615.9430884970259,2319.9,-0.9479218339883748,0.3709372314740771,29893.0,29927.350768075496,-34.35076807549558,29908.97520222267,-15.975202222671214,29909.00223286237,-16.002232862370874,29896.705876602533,-3.7058766025329533
1069,-29627.4,3103.2,54.9,572692685,,241,691,3.2,,,,3131.2,0,242,244.55871886120997,241,243,249,200.0,-2735.502132397345,1533.590848854877,3131.2,0.5934773955841912,0.5934773955841912,-20934.0,-20997.28062634619,63.28062634618982,-20970.389172332372,36.389172332372254,-20977.89208740564,43.89208740563845,-20953.428952320544,19.42895232054434
1070,-28139.3,3110.8,46.6,572696816,,241,691,3.1,,,,2360.5,0,242,243.10394265232978,241,242,246,125.0,-1989.3601635466343,1278.4176263404056,2360.5,1.1422944834367181,1.1422944834367181,-16803.0,-16850.08745171112,47.087451711118774,-16888.549192790902,85.54919279090245,-16890.89250108271,87.89250108271153,-16894.84728057444,91.84728057443863
1276,-24311.0,-859.5,16.7,572714246,,241,691,2.8,,,,3538.6,0,242,243.3861788617886,242,243,246,100.0,-3532.0839280555,224.83781712873406,3538.6,0.6241163027719883,0.6241163027719883,627.0,216.65838251404656,410.3416174859534,596.7348515116092,30.265148488390764,584.9473530673907,42.052646932609264,607.9083559926626,19.091644007337436
613,-26627.4,8307.7,60.6,572692836,,240,690,2.6,,,,3611.9,0,241,244.27947598253272,241,242,246,125.0,3271.7050527439096,1524.5767158522538,3611.9,-1.1004094562863234,0.21844960917612855,-20783.0,-20928.66336650652,145.6633665065201,-20818.909416670354,35.9094166703544,-20810.62376102599,27.623761025988642,-20803.308769916082,20.308769916082383
652,-22120.3,5689.3,38.0,572709742,,241,691,2.5,,,,3275.9,0,242,245.53703703703707,241,242,247,150.0,3239.459329390004,480.7875189365341,3275.9,-1.0813133336122216,0.2375457318502303,-3877.0,-3998.427433615834,121.42743361583416,-3856.018819681511,-20.981180318488896,-3847.6494641661934,-29.35053583380659,-3847.181591043709,-29.818408956291023
